,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
0,23,2020-06-03,27,MG,Abadia dos Dourados,3100104.0,city,5,71.54099000000001,0,0,0,0.0,6989.0,True,False
1,23,2020-06-03,53,MG,Abaeté,3100203.0,city,1,4.30348,0,0,0,0.0,23237.0,True,False
2,23,2020-06-03,16,MG,Açucena,3100500.0,city,4,42.23865,0,1,0,0.25,9470.0,True,False
3,23,2020-06-03,5,MG,Água Comprida,3100708.0,city,2,100.05003,0,0,0,0.0,1999.0,True,False
4,23,2020-06-03,15,MG,Águas Vermelhas,3101003.0,city,10,73.8607,0,0,0,0.0,13539.0,True,False
5,23,2020-06-03,31,MG,Aimorés,3101102.0,city,37,147.01792,12,0,0,0.0,25167.0,True,False
6,23,2020-06-03,41,MG,Além Paraíba,3101508.0,city,45,127.25525,0,1,0,0.0222,35362.0,True,False
7,23,2020-06-03,65,MG,Alfenas,3101607.0,city,15,18.75094,0,0,0,0.0,79996.0,True,False
8,23,2020-06-03,25,MG,Alfredo Vasconcelos,3101631.0,city,2,28.956129999999998,0,1,0,0.5,6907.0,True,False
9,23,2020-06-03,50,MG,Almenara,3101706.0,city,14,33.41608,0,0,0,0.0,41896.0,True,False
10,23,2020-06-03,57,MG,Alpercata,3101805.0,city,3,40.40948,0,0,0,0.0,7424.0,True,False
11,23,2020-06-03,28,MG,Alpinópolis,3101904.0,city,1,5.03702,0,0,0,0.0,19853.0,True,False
12,23,2020-06-03,36,MG,Alterosa,3102001.0,city,1,6.9127600000000005,0,0,0,0.0,14466.0,True,False
13,23,2020-06-03,4,MG,Alto Caparaó,3102050.0,city,1,17.10279,0,0,0,0.0,5847.0,True,False
14,23,2020-06-03,32,MG,Alto Jequitibá,3153509.0,city,12,144.28278999999998,0,1,0,0.0833,8317.0,True,False
15,23,2020-06-03,28,MG,Alto Rio Doce,3102100.0,city,1,9.090910000000001,0,0,0,0.0,11000.0,True,False
16,23,2020-06-03,17,MG,Alvarenga,3102209.0,city,71,1817.2510899999997,49,0,0,0.0,3907.0,True,False
17,23,2020-06-03,2,MG,Amparo do Serra,3102506.0,city,1,21.21791,0,0,0,0.0,4713.0,True,False
18,23,2020-06-03,21,MG,Andradas,3102605.0,city,5,12.172260000000001,1,1,0,0.2,41077.0,True,False
19,23,2020-06-03,21,MG,Andrelândia,3102803.0,city,11,89.98691,0,0,0,0.0,12224.0,True,False
20,23,2020-06-03,1,MG,Antônio Carlos,3102902.0,city,4,34.94976,4,0,0,0.0,11445.0,True,False
21,23,2020-06-03,1,MG,Antônio Dias,3103009.0,city,4,42.92767,4,0,0,0.0,9318.0,True,False
22,23,2020-06-03,20,MG,Araçuaí,3103405.0,city,2,5.4484,0,0,0,0.0,36708.0,True,False
23,23,2020-06-03,64,MG,Araguari,3103504.0,city,24,20.46612,0,1,0,0.0417,117267.0,True,False
24,23,2020-06-03,14,MG,Arantina,3103603.0,city,2,71.55635,0,0,0,0.0,2795.0,True,False
25,23,2020-06-03,9,MG,Araporã,3103751.0,city,7,101.90711999999999,1,0,0,0.0,6869.0,True,False
26,23,2020-06-03,51,MG,Araxá,3104007.0,city,129,121.43576999999999,10,2,0,0.0155,106229.0,True,False
27,23,2020-06-03,46,MG,Arceburgo,3104106.0,city,5,46.41664,0,0,0,0.0,10772.0,True,False
28,23,2020-06-03,63,MG,Arcos,3104205.0,city,24,59.86232,0,0,0,0.0,40092.0,True,False
29,23,2020-06-03,27,MG,Astolfo Dutra,3104601.0,city,12,84.6322,0,0,0,0.0,14179.0,True,False
30,23,2020-06-03,6,MG,Baependi,3104908.0,city,2,10.44496,1,0,0,0.0,19148.0,True,False
31,23,2020-06-03,6,MG,Barão de Cocais,3105400.0,city,29,89.27197,0,0,0,0.0,32485.0,True,False
32,23,2020-06-03,63,MG,Barbacena,3105608.0,city,286,208.28327,3,4,0,0.013999999999999999,137313.0,True,False
33,23,2020-06-03,1,MG,Barra Longa,3105707.0,city,1,19.48938,1,0,0,0.0,5131.0,True,False
34,23,2020-06-03,18,MG,Barroso,3105905.0,city,2,9.61076,0,0,0,0.0,20810.0,True,False
35,23,2020-06-03,28,MG,Bela Vista de Minas,3106002.0,city,3,29.25402,0,0,0,0.0,10255.0,True,False
36,23,2020-06-03,50,MG,Belmiro Braga,3106101.0,city,3,87.48906,0,1,0,0.3333,3429.0,True,False
37,23,2020-06-03,80,MG,Belo Horizonte,3106200.0,city,2029,80.77004000000001,117,51,0,0.0251,2512070.0,True,False
38,23,2020-06-03,41,MG,Belo Oriente,3106309.0,city,10,37.453179999999996,0,0,0,0.0,26700.0,True,False
39,23,2020-06-03,41,MG,Belo Vale,3106408.0,city,2,25.92353,1,1,0,0.5,7715.0,True,False
40,23,2020-06-03,73,MG,Betim,3106705.0,city,156,35.50781,21,8,2,0.0513,439340.0,True,False
