,nome_modelo,versao,entradas,rmse,epoch
0,Modelo_Brazil_v0,v0,"(10, 7)",0.0494424494641549,5
1,Modelo_Brazil_v1,v1,"(20, 7)",0.06209109200260945,5
2,Modelo_Brazil_v2,v2,"(30, 7)",0.07360227651030518,5
0,Modelo_Brazil_v0,v0,"(10, 7)",0.03895244799517007,10
1,Modelo_Brazil_v1,v1,"(20, 7)",0.049134881973093396,10
2,Modelo_Brazil_v2,v2,"(30, 7)",0.07631393583830355,10
0,Modelo_Brazil_v0,v0,"(10, 7)",0.03734782398166488,20
1,Modelo_Brazil_v1,v1,"(20, 7)",0.05387309087328164,20
2,Modelo_Brazil_v2,v2,"(30, 7)",0.08486123549151565,20
0,Modelo_Brazil_v0,v0,"(10, 7)",0.04247035812399783,50
1,Modelo_Brazil_v1,v1,"(20, 7)",0.04415497215604565,50
2,Modelo_Brazil_v2,v2,"(30, 7)",0.07536531284460306,50
0,Modelo_Brazil_v0,v0,"(10, 7)",0.023176688337057452,100
1,Modelo_Brazil_v1,v1,"(20, 7)",0.025396419117138958,100
2,Modelo_Brazil_v2,v2,"(30, 7)",0.03850013517629064,100
