,nome_modelo,versao,entradas,rmse,epoch
0,Modelo_MG_v0,v0,"(10, 7)",0.08443932795800185,5
1,Modelo_MG_v1,v1,"(20, 7)",0.09982645637389902,5
2,Modelo_MG_v2,v2,"(30, 7)",0.08938718210848244,5
0,Modelo_MG_v0,v0,"(10, 7)",0.10113473113068211,10
1,Modelo_MG_v1,v1,"(20, 7)",0.11928924881440658,10
2,Modelo_MG_v2,v2,"(30, 7)",0.126789206858762,10
0,Modelo_MG_v0,v0,"(10, 7)",0.08421338811187541,20
1,Modelo_MG_v1,v1,"(20, 7)",0.10534096499869111,20
2,Modelo_MG_v2,v2,"(30, 7)",0.09332331659205188,20
0,Modelo_MG_v0,v0,"(10, 7)",0.0721722662653068,50
1,Modelo_MG_v1,v1,"(20, 7)",0.11782277955773914,50
2,Modelo_MG_v2,v2,"(30, 7)",0.09602195930147799,50
0,Modelo_MG_v0,v0,"(10, 7)",0.07380136686418583,100
1,Modelo_MG_v1,v1,"(20, 7)",0.09436625436018052,100
2,Modelo_MG_v2,v2,"(30, 7)",0.31241755514497627,100
